Timestamp,Target IP,Hop Number,Hop IP,Latency,City,Region,Country
2024-11-07 23:10:17,104.237.171.0,7,142.251.64.124,18.6,Paris,Île-de-France,FR
2024-11-07 23:10:17,104.237.171.0,8,192.178.81.162,18.3,Paris,Île-de-France,FR
2024-11-07 23:10:17,104.237.171.0,9,108.170.233.114,21.4,Paris,Île-de-France,FR
2024-11-07 23:10:17,104.237.171.0,10,216.239.43.184,96.4,Washington,District of Columbia,US
2024-11-07 23:10:17,104.237.171.0,11,192.178.75.110,207.7,Osasco,São Paulo,BR
2024-11-07 23:10:17,104.237.171.0,12,172.253.67.192,209.2,Osasco,São Paulo,BR
2024-11-07 23:10:17,104.237.171.0,13,142.251.255.53,210.5,Osasco,São Paulo,BR
2024-11-07 23:10:17,104.237.171.0,14,142.251.64.24,206.9,Osasco,São Paulo,BR
2024-11-07 23:10:17,104.237.170.0,1,10.192.146.1,2.4,,,
2024-11-07 23:10:17,104.237.170.0,2,172.22.1.1,2.0,,,
2024-11-07 23:10:17,104.237.170.0,4,172.21.18.154,18.7,,,
2024-11-07 23:10:17,104.237.170.0,7,108.170.235.14,18.6,Paris,Île-de-France,FR
2024-11-07 23:10:17,104.237.170.0,8,192.178.96.136,22.6,Paris,Île-de-France,FR
2024-11-07 23:10:17,104.237.170.0,9,209.85.255.106,28.8,Paris,Île-de-France,FR
2024-11-07 23:10:17,104.237.170.0,10,192.178.81.40,96.4,Reston,Virginia,US
2024-11-07 23:10:17,104.237.170.0,11,192.178.75.110,206.6,Osasco,São Paulo,BR
2024-11-07 23:10:17,104.237.170.0,12,172.253.65.6,207.3,Osasco,São Paulo,BR
2024-11-07 23:10:17,104.237.170.0,13,192.178.84.59,212.1,Osasco,São Paulo,BR
2024-11-07 23:10:17,104.237.170.0,14,192.178.84.30,210.8,Osasco,São Paulo,BR
2024-11-07 23:10:17,104.237.169.0,4,172.21.18.154,18.2,,,
2024-11-07 23:10:17,104.237.169.0,7,72.14.237.92,24.1,Paris,Île-de-France,FR
2024-11-07 23:10:17,104.237.169.0,8,142.250.59.230,29.9,Paris,Île-de-France,FR
2024-11-07 23:10:17,104.237.169.0,9,209.85.255.106,21.5,Paris,Île-de-France,FR
2024-11-07 23:10:17,104.237.169.0,10,216.239.43.184,94.4,Washington,District of Columbia,US
2024-11-07 23:10:17,104.237.169.0,11,192.178.75.110,208.9,Osasco,São Paulo,BR
2024-11-07 23:10:17,104.237.169.0,12,142.250.228.29,211.0,Osasco,São Paulo,BR
2024-11-07 23:10:17,104.237.169.0,13,192.178.84.59,213.2,Osasco,São Paulo,BR
2024-11-07 23:10:17,104.237.169.0,14,209.85.244.148,207.0,Osasco,São Paulo,BR
2024-11-07 23:10:17,104.237.168.0,4,172.21.18.154,17.4,,,
2024-11-07 23:10:17,104.237.168.0,7,142.250.224.92,18.0,Paris,Île-de-France,FR
2024-11-07 23:10:17,104.237.168.0,8,108.170.255.164,31.3,Paris,Île-de-France,FR
2024-11-07 23:10:17,104.237.168.0,9,108.170.230.211,19.8,Paris,Île-de-France,FR
2024-11-07 23:10:17,104.237.168.0,10,216.239.43.184,94.2,Washington,District of Columbia,US
2024-11-07 23:10:17,104.237.168.0,11,192.178.75.110,207.2,Osasco,São Paulo,BR
2024-11-07 23:10:17,104.237.168.0,12,172.253.67.192,206.5,Osasco,São Paulo,BR
2024-11-07 23:10:17,104.237.168.0,13,192.178.84.179,206.9,Osasco,São Paulo,BR
2024-11-07 23:10:17,104.237.168.0,14,209.85.248.220,206.1,Osasco,São Paulo,BR
2024-11-07 23:10:17,104.237.167.0,1,10.192.146.1,2.1,,,
2024-11-07 23:10:17,104.237.167.0,2,172.22.1.1,2.5,,,
2024-11-07 23:10:17,104.237.167.0,4,172.21.18.154,18.4,,,
2024-11-07 23:10:17,104.237.167.0,7,108.170.235.14,18.7,Paris,Île-de-France,FR
2024-11-07 23:10:17,104.237.167.0,8,192.178.81.162,18.4,Paris,Île-de-France,FR
2024-11-07 23:10:17,104.237.167.0,10,216.239.43.184,94.4,Washington,District of Columbia,US
2024-11-07 23:10:17,104.237.167.0,11,192.178.75.110,208.2,Osasco,São Paulo,BR
2024-11-07 23:10:17,104.237.167.0,12,172.253.67.189,207.0,Osasco,São Paulo,BR
2024-11-07 23:10:17,104.237.167.0,13,142.251.255.53,210.1,Osasco,São Paulo,BR
2024-11-07 23:10:17,104.237.167.0,14,108.170.232.0,206.9,Osasco,São Paulo,BR
2024-11-07 23:10:17,104.237.164.0,4,172.21.18.154,17.9,,,
2024-11-07 23:10:17,104.237.164.0,7,142.251.253.36,25.7,Paris,Île-de-France,FR
2024-11-07 23:10:17,104.237.164.0,8,108.170.255.168,18.4,Paris,Île-de-France,FR
2024-11-07 23:10:17,104.237.164.0,9,209.85.251.59,19.3,Paris,Île-de-France,FR
2024-11-07 23:10:17,104.237.164.0,10,108.170.236.36,29.0,London,England,GB
2024-11-07 23:10:17,104.237.164.0,11,192.178.241.152,115.8,Lagos,Lagos,NG
2024-11-07 23:10:17,104.237.164.0,12,192.178.240.17,116.7,Lagos,Lagos,NG
2024-11-07 23:10:17,104.237.164.0,13,192.178.106.184,115.2,Lagos,Lagos,NG
2024-11-07 23:10:17,104.237.164.0,14,104.237.164.65,124.0,Lagos,Lagos,NG
2024-11-07 23:10:17,104.237.164.0,15,104.237.164.64,124.6,Lagos,Lagos,NG
2024-11-07 23:10:17,104.237.164.0,16,104.237.164.65,129.9,Lagos,Lagos,NG
2024-11-07 23:10:17,104.237.164.0,17,104.237.164.64,131.1,Lagos,Lagos,NG
2024-11-07 23:10:17,104.237.164.0,18,104.237.164.65,134.8,Lagos,Lagos,NG
2024-11-07 23:10:17,104.237.164.0,19,104.237.164.64,136.7,Lagos,Lagos,NG
2024-11-07 23:10:17,104.237.164.0,20,104.237.164.65,141.4,Lagos,Lagos,NG
2024-11-07 23:10:17,104.237.164.0,21,104.237.164.64,151.3,Lagos,Lagos,NG
2024-11-07 23:10:17,104.237.164.0,22,104.237.164.65,149.5,Lagos,Lagos,NG
2024-11-07 23:10:17,104.237.164.0,23,104.237.164.64,150.0,Lagos,Lagos,NG
2024-11-07 23:10:17,104.237.164.0,24,104.237.164.65,155.0,Lagos,Lagos,NG
2024-11-07 23:10:17,104.237.164.0,25,104.237.164.64,157.8,Lagos,Lagos,NG
2024-11-07 23:10:17,104.237.164.0,26,104.237.164.65,161.2,Lagos,Lagos,NG
2024-11-07 23:10:17,104.237.164.0,27,104.237.164.64,162.7,Lagos,Lagos,NG
2024-11-07 23:10:17,104.237.164.0,28,104.237.164.65,167.7,Lagos,Lagos,NG
